0060| 2021/10/01 01:02:19,737| 76.47nm GaAs

0061| 2021/10/01 01:06:55,028| 89.06nm AlGaAs 92%

0062| 2021/10/01 01:12:15,645| 76.47nm GaAs

0063| 2021/10/01 01:16:50,936| 89.06nm AlGaAs 92%

0064| 2021/10/01 01:22:11,552| 76.47nm GaAs

0065| 2021/10/01 01:26:46,844| 89.06nm AlGaAs 92%

0066| 2021/10/01 01:32:07,460| 76.47nm GaAs

0067| 2021/10/01 01:36:42,752| 89.06nm AlGaAs 92%

0068| 2021/10/01 01:42:03,368| 76.47nm GaAs

0069| 2021/10/01 01:46:38,661| 89.06nm AlGaAs 92%

0070| 2021/10/01 01:51:59,277| 76.47nm GaAs

0071| 2021/10/01 01:56:34,568| 89.06nm AlGaAs 92%

0072| 2021/10/01 02:01:55,184| 76.47nm GaAs

0073| 2021/10/01 02:06:30,477| 89.06nm AlGaAs 92%

0074| 2021/10/01 02:11:51,092| 76.47nm GaAs

0075| 2021/10/01 02:16:26,385| 89.06nm AlGaAs 92%

0076| 2021/10/01 02:21:47,001| 76.47nm GaAs

0077| 2021/10/01 02:26:22,292| 89.06nm AlGaAs 92%

0078| 2021/10/01 02:31:42,908| 229 nm GaAs

0079| 2021/10/01 02:45:27,309| Descente

0080| 2021/10/01 03:05:27,309| END

0001| 2021/09/29 18:13:48,177| init

0002| 2021/09/29 18:13:58,150| Mont�e pour d�sox

0003| 2021/09/29 18:33:58,149| d�sox

0004| 2021/09/29 18:48:58,149| descente pour tampon

0005| 2021/09/29 18:50:58,149| Tampon

0006| 2021/09/29 19:50:40,150| Fin tampon, mont�e As

0007| 2021/09/29 19:50:58,149| 270nm AlGaAs 92%

0008| 2021/09/29 20:07:10,150| 76.47nm GaAs

0009| 2021/09/29 20:11:45,442| 89.06nm AlGaAs 92%

0010| 2021/09/29 20:17:06,057| 270 nm GaAs

0011| 2021/09/29 20:33:18,058| Descente

0012| 2021/09/29 20:53:18,057| wait

0013| 2021/09/29 20:53:28,058| END

0001| 2021/09/28 09:13:27,982| init

0002| 2021/09/28 09:13:32,923| Mont�e pour d�sox

0003| 2021/09/28 09:43:32,923| d�sox

0004| 2021/09/28 09:58:32,923| descente pour tampon

0005| 2021/09/28 10:00:32,923| Tampon

0006| 2021/09/28 11:00:14,924| Fin tampon, mont�e As

0007| 2021/09/28 11:00:32,923| 270nm AlGaAs 92%

0008| 2021/09/28 11:16:44,923| 76.47nm GaAs

0009| 2021/09/28 11:21:20,216| 89.06nm AlGaAs 92%

0010| 2021/09/28 11:26:40,832| 76.47nm GaAs

0011| 2021/09/28 11:31:16,124| 89.06nm AlGaAs 92%

0012| 2021/09/28 11:36:36,740| 76.47nm GaAs

0013| 2021/09/28 11:41:12,031| 89.06nm AlGaAs 92%

0014| 2021/09/28 11:46:32,648| 76.47nm GaAs

0015| 2021/09/28 11:51:07,940| 89.06nm AlGaAs 92%

0016| 2021/09/28 11:56:28,555| 76.47nm GaAs

0017| 2021/09/28 12:01:03,847| 89.06nm AlGaAs 92%

0018| 2021/09/28 12:06:24,464| 270 nm GaAs

0019| 2021/09/28 12:22:36,463| Descente

0020| 2021/09/28 12:42:36,463| wait

0021| 2021/09/28 14:42:36,463| END

0001| 2021/09/29 04:30:25,266| init

0002| 2021/09/29 04:30:55,221| Mont�e pour d�sox

0003| 2021/09/29 05:00:55,222| d�sox

0004| 2021/09/29 05:15:55,221| descente pour tampon

0005| 2021/09/29 05:17:55,221| Tampon

0006| 2021/09/29 06:17:37,221| Fin tampon, mont�e As

0007| 2021/09/29 06:17:55,221| 270nm AlGaAs 92%

0008| 2021/09/29 06:34:07,221| 76.47nm GaAs

0009| 2021/09/29 06:38:42,513| 89.06nm AlGaAs 92%

0010| 2021/09/29 06:44:03,129| 76.47nm GaAs

0011| 2021/09/29 06:48:38,421| 89.06nm AlGaAs 92%

0012| 2021/09/29 06:53:59,037| 76.47nm GaAs

